person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
26.0,140250,RENT,0.0,VENTURE,B,20000,11.48,0,0.0721750678445637,N,3
23.0,140250,OWN,3.0,PERSONAL,A,23125,10.99,0,0.1263537906137184,N,4
25.0,128000,RENT,9.0,PERSONAL,A,23125,7.29,0,0.234375,N,4
24.0,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.1458333333333333,Y,3
21.0,131000,RENT,0.0,VENTURE,A,23125,5.99,0,0.23,N,4
22.0,140250,OWN,6.0,VENTURE,B,12000,11.58,0,0.0436363636363636,N,2
26.0,140250,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.0380228136882129,N,4
25.0,140250,MORTGAGE,9.0,MEDICAL,D,23125,15.7,1,0.1126887536623845,N,2
22.0,70000,RENT,6.0,EDUCATION,D,23125,15.99,1,0.4157142857142857,N,3
22.0,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.125,Y,3
26.0,140250,OWN,10.0,HOMEIMPROVEMENT,B,23125,10.99,0,0.1076923076923077,N,3
25.0,140250,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.0772200772200772,Y,2
24.0,140250,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.0376470588235294,N,2
25.0,140250,RENT,2.0,MEDICAL,C,23125,13.49,0,0.1,N,4
25.0,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3
22.0,56950,RENT,6.0,MEDICAL,A,23125,10.99,1,0.4916593503072871,N,2
21.0,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3
23.0,65000,RENT,2.0,EDUCATION,A,23125,7.9,1,0.43,N,2
26.0,85000,RENT,2.0,VENTURE,A,23125,7.49,1,0.33,N,3
26.0,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.5083333333333333,N,3
22.0,88000,RENT,6.0,VENTURE,B,23125,9.91,1,0.3181818181818182,N,3
21.0,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4
22.0,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.3958333333333333,N,2
24.0,83004,RENT,0.0,VENTURE,D,23125,15.99,1,0.3373331405715387,Y,4
24.0,140250,RENT,2.0,EDUCATION,C,18000,12.98,0,0.072,Y,3
25.0,100000,RENT,5.0,DEBTCONSOLIDATION,B,23125,12.69,0,0.28,N,3
26.0,110000,RENT,10.0,EDUCATION,A,23125,8.9,0,0.2545454545454545,N,2
26.0,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.225,N,4
22.0,108000,RENT,6.0,EDUCATION,B,23125,10.99,1,0.26,N,4
23.0,140250,RENT,7.0,DEBTCONSOLIDATION,B,23125,11.11,0,0.1851851851851851,N,2
24.0,69000,RENT,2.0,HOMEIMPROVEMENT,A,23125,10.99,1,0.4,N,2
21.0,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3
22.0,70000,RENT,4.0,EDUCATION,C,23125,13.06,1,0.3928571428571428,Y,3
22.0,140250,OWN,6.0,PERSONAL,B,23125,10.99,0,0.1041666666666666,N,2
26.0,73200,RENT,5.0,VENTURE,D,23125,15.62,1,0.37,Y,2
24.0,83000,RENT,5.0,PERSONAL,C,23125,13.49,1,0.3253012048192771,Y,2
24.0,73399,RENT,0.0,VENTURE,D,23125,10.99,1,0.3678524230575348,N,3
23.0,62500,RENT,7.0,MEDICAL,B,23125,11.71,1,0.416,N,2
23.0,120000,RENT,1.0,EDUCATION,B,23125,12.69,0,0.2133333333333333,N,3
24.0,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3
22.0,60000,RENT,0.0,VENTURE,B,23125,10.99,1,0.4245833333333333,N,3
25.0,140250,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.0854700854700854,Y,4
24.0,140250,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.0854700854700854,N,4
26.0,140250,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.0923076923076923,N,3
25.0,140250,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.0538451792727733,Y,3
26.0,140250,MORTGAGE,0.0,MEDICAL,C,23125,14.17,0,0.1075268817204301,Y,2
25.0,140250,MORTGAGE,5.0,MEDICAL,C,23125,13.99,0,0.1521739130434782,N,4
23.0,83000,RENT,7.0,EDUCATION,B,23125,10.99,1,0.3048192771084337,N,3
22.0,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.1587301587301587,N,4
25.0,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.1388888888888889,N,3
21.0,42500,RENT,3.0,EDUCATION,C,23125,12.73,1,0.5882352941176471,Y,3
24.0,41000,RENT,2.0,HOMEIMPROVEMENT,D,23125,10.99,1,0.61,N,3
25.0,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.2340823970037453,Y,4
24.0,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.2816358024691358,N,3
26.0,140250,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.0884955752212389,N,4
25.0,140250,MORTGAGE,0.0,HOMEIMPROVEMENT,E,23125,19.91,0,0.1333333333333333,Y,2
26.0,140250,MORTGAGE,6.0,EDUCATION,B,23125,10.65,1,0.1643192488262911,N,2
24.0,140250,RENT,0.0,MEDICAL,B,6000,10.99,0,0.0266666666666666,N,4
24.0,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.3472222222222222,N,4
23.0,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.1846722068328716,Y,2
22.0,42000,RENT,6.0,MEDICAL,D,23125,14.59,1,0.5952380952380952,Y,2
26.0,48000,RENT,2.0,EDUCATION,B,23125,9.64,1,0.52,N,4
25.0,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.2770083102493075,N,3
22.0,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.3654970760233918,N,3
25.0,42360,RENT,1.0,EDUCATION,E,23125,16.35,1,0.59,Y,3
21.0,49000,RENT,4.0,EDUCATION,B,23125,10.99,1,0.51,N,2
25.0,140250,MORTGAGE,0.0,VENTURE,F,23125,18.67,0,0.1111111111111111,N,2
26.0,140250,RENT,1.0,EDUCATION,A,3000,9.32,0,0.0133333333333333,N,4
23.0,140250,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.0333333333333333,N,2
26.0,140250,MORTGAGE,2.0,VENTURE,B,23125,10.08,0,0.1111111111111111,N,2
22.0,49464,RENT,5.0,PERSONAL,B,23125,11.83,1,0.5054180818372959,N,3
23.0,50000,RENT,1.0,DEBTCONSOLIDATION,A,23125,7.9,1,0.5,N,3
25.0,50000,RENT,4.0,HOMEIMPROVEMENT,A,23125,5.99,1,0.5,N,2
24.0,44000,RENT,2.0,DEBTCONSOLIDATION,D,23125,15.33,1,0.5681818181818182,N,2
23.0,50000,RENT,1.0,VENTURE,B,23125,11.83,1,0.5,N,4
22.0,50004,RENT,0.0,VENTURE,B,23125,10.36,1,0.5,N,2
22.0,50004,RENT,3.0,VENTURE,C,23125,12.23,1,0.5,N,3
22.0,52000,RENT,2.0,EDUCATION,B,23125,11.11,1,0.48,N,4
23.0,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.375,N,4
24.0,140250,MORTGAGE,1.0,EDUCATION,B,23125,11.58,0,0.1136363636363636,N,2
23.0,140250,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.0972222222222222,N,3
25.0,140250,MORTGAGE,2.0,EDUCATION,D,23125,16.07,0,0.1157407407407407,N,3
26.0,140250,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.0925925925925925,Y,2
23.0,140250,MORTGAGE,7.0,MEDICAL,C,23125,14.79,0,0.1627906976744186,Y,3
26.0,140250,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.055813953488372,N,2
23.0,52000,RENT,1.0,PERSONAL,C,23125,13.22,1,0.48,N,2
26.0,46000,RENT,2.0,DEBTCONSOLIDATION,D,23125,11.86,1,0.5434782608695652,N,4
22.0,53000,RENT,5.0,EDUCATION,C,23125,13.43,1,0.4716981132075472,Y,4
26.0,47000,RENT,0.0,HOMEIMPROVEMENT,D,23125,15.28,1,0.5319148936170213,Y,2
23.0,47000,RENT,1.0,VENTURE,E,23125,17.93,1,0.5319148936170213,N,2
23.0,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.106060606060606,N,4
21.0,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4
22.0,140250,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.0761904761904762,N,4
26.0,140250,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1047619047619047,N,4
26.0,48000,RENT,5.0,VENTURE,F,23125,18.43,1,0.52,N,2
22.0,54996,RENT,6.0,EDUCATION,B,23125,10.99,1,0.4545785148010764,N,4
24.0,55000,RENT,4.0,HOMEIMPROVEMENT,D,23125,10.99,1,0.4545454545454545,Y,4
23.0,55000,RENT,4.0,EDUCATION,B,23125,11.36,1,0.4545454545454545,N,3
23.0,55000,RENT,4.0,EDUCATION,D,23125,15.65,1,0.4545454545454545,Y,3
24.0,55164,RENT,8.0,PERSONAL,C,23125,13.22,1,0.4531941121020956,Y,4
26.0,56000,RENT,4.0,DEBTCONSOLIDATION,C,23125,12.87,1,0.4464285714285714,N,2
24.0,140250,OWN,8.0,MEDICAL,C,20000,13.04,0,0.0982800982800982,N,3
23.0,140250,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.1157894736842105,Y,3
23.0,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.5567528735632183,N,4
24.0,60000,RENT,0.0,PERSONAL,B,23125,10.99,1,0.4166666666666667,N,3
24.0,60000,RENT,2.0,PERSONAL,B,23125,11.11,1,0.4166666666666667,N,3
26.0,54000,RENT,7.0,DEBTCONSOLIDATION,D,23125,14.83,1,0.4629629629629629,Y,2
23.0,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.2857142857142857,N,3
24.0,140250,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2
24.0,140250,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2
21.0,140250,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4
25.0,54000,RENT,3.0,HOMEIMPROVEMENT,E,23125,16.82,1,0.4629629629629629,N,4
23.0,60000,RENT,3.0,PERSONAL,C,23125,12.73,1,0.4166666666666667,N,3
23.0,60000,RENT,7.0,PERSONAL,B,23125,10.25,1,0.4166666666666667,N,4
21.0,60000,RENT,6.0,EDUCATION,B,23125,10.99,1,0.4166666666666667,N,4
25.0,61959,RENT,9.0,MEDICAL,C,23125,12.73,1,0.4034926322245356,N,2
22.0,56400,RENT,2.0,HOMEIMPROVEMENT,D,23125,14.96,1,0.4432624113475177,Y,3
23.0,140250,MORTGAGE,7.0,EDUCATION,A,23125,10.99,0,0.14,N,2
21.0,140250,MORTGAGE,2.0,DEBTCONSOLIDATION,C,23125,13.99,0,0.125,N,2
24.0,140250,MORTGAGE,3.0,VENTURE,A,23125,7.49,0,0.12,N,4
26.0,140250,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.075,N,3
25.0,140250,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.0775,N,2
24.0,140250,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4
24.0,66000,RENT,3.0,EDUCATION,B,23125,9.91,1,0.3787878787878788,N,2
22.0,66000,RENT,6.0,EDUCATION,C,23125,13.06,1,0.3787878787878788,Y,3
22.0,140250,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.045,N,4
25.0,140250,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3
25.0,140250,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2
25.0,140250,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.11525,N,3
24.0,140250,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3
24.0,60000,RENT,2.0,DEBTCONSOLIDATION,E,23125,10.99,1,0.4166666666666667,Y,2
21.0,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.2083333333333333,N,4
26.0,66996,RENT,10.0,PERSONAL,D,23125,15.21,1,0.373156606364559,Y,2
23.0,67000,RENT,3.0,EDUCATION,A,23125,7.9,1,0.373134328358209,N,4
24.0,67000,RENT,2.0,VENTURE,B,23125,10.99,1,0.373134328358209,N,3
24.0,68000,RENT,5.0,PERSONAL,D,23125,14.09,1,0.3676470588235294,Y,3
25.0,69000,RENT,9.0,PERSONAL,D,23125,17.49,1,0.3623188405797101,N,2
25.0,140250,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3
26.0,140250,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.1063829787234042,N,2
26.0,140250,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.015,N,3
25.0,69996,RENT,9.0,EDUCATION,D,23125,15.21,1,0.3571632664723698,N,3
22.0,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.2777777777777778,N,3
24.0,70000,RENT,3.0,EDUCATION,B,23125,11.86,1,0.3571428571428571,N,4
24.0,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.4166666666666667,N,3
24.0,56100,RENT,7.0,MEDICAL,D,23125,16.49,1,0.445632798573975,N,4
25.0,66000,RENT,9.0,VENTURE,D,23125,15.33,1,0.3787878787878788,Y,2
26.0,66000,RENT,3.0,HOMEIMPROVEMENT,B,23125,11.58,1,0.3787878787878788,N,4
25.0,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.3732638888888889,N,2
25.0,72612,RENT,9.0,MEDICAL,C,23125,13.11,1,0.3442957086982868,N,2
23.0,74000,RENT,3.0,MEDICAL,B,23125,10.36,1,0.3378378378378378,N,3
25.0,75000,RENT,9.0,DEBTCONSOLIDATION,B,23125,10.36,1,0.3333333333333333,N,2
24.0,140250,RENT,0.0,MEDICAL,C,22000,10.99,0,0.1145833333333333,Y,2
21.0,140250,MORTGAGE,14.5,VENTURE,A,20000,6.54,0,0.1041666666666666,N,4
25.0,140250,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.0523560209424083,N,4
26.0,140250,MORTGAGE,5.0,PERSONAL,A,15000,10.99,0,0.0788229111928534,N,3
22.0,140250,MORTGAGE,3.0,VENTURE,C,10000,10.99,0,0.0526315789473684,N,3
24.0,75000,RENT,4.0,EDUCATION,B,23125,10.25,1,0.3333333333333333,N,4
22.0,71000,RENT,1.0,EDUCATION,D,23125,15.95,1,0.352112676056338,Y,4
26.0,140250,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.1052631578947368,N,4
23.0,140250,OWN,0.0,PERSONAL,B,23125,11.83,0,0.1263184488094486,N,3
23.0,78000,RENT,7.0,DEBTCONSOLIDATION,C,23125,10.99,1,0.32,Y,2
23.0,78000,RENT,1.0,VENTURE,B,23125,10.62,1,0.32,N,3
23.0,78504,RENT,7.0,VENTURE,B,23125,10.74,1,0.3184551105676144,N,3
25.0,140250,OWN,9.0,VENTURE,B,10000,10.25,0,0.053763440860215,N,4
24.0,140250,MORTGAGE,4.0,EDUCATION,B,23125,12.42,0,0.19,N,2
25.0,140250,RENT,6.0,VENTURE,C,15000,15.27,0,0.081081081081081,N,2
24.0,62050,RENT,8.0,MEDICAL,D,23125,15.33,1,0.40290088638195,Y,2
23.0,79416,RENT,7.0,VENTURE,D,23125,15.21,1,0.3147980255867835,Y,2
21.0,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.4340277777777778,N,2
24.0,79631,RENT,8.0,PERSONAL,D,23125,15.7,1,0.3139480855445744,Y,2
24.0,79632,RENT,0.0,EDUCATION,C,23125,13.35,1,0.3139441430580671,N,4
21.0,14400,MORTGAGE,0.0,MEDICAL,C,1500,10.99,0,0.1041666666666666,N,4
24.0,80000,RENT,6.0,EDUCATION,A,23125,6.62,1,0.3125,N,2
26.0,80000,RENT,5.0,DEBTCONSOLIDATION,C,23125,13.61,1,0.3125,N,4
22.0,140250,RENT,4.0,MEDICAL,B,23125,11.36,0,0.1351351351351351,N,2
26.0,140250,OWN,10.0,PERSONAL,A,5000,7.68,0,0.027027027027027,N,2
24.0,140250,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.1189240615810413,Y,4
23.0,140250,OWN,5.0,EDUCATION,B,2500,11.83,0,0.0135869565217391,N,2
24.0,140250,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.1162790697674418,Y,4
24.0,140250,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3
22.0,140250,MORTGAGE,3.0,EDUCATION,A,1000,10.99,0,0.0054644808743169,N,2
25.0,140250,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.0819887183523547,N,3
23.0,74004,RENT,7.0,DEBTCONSOLIDATION,E,23125,16.35,1,0.3378195773201448,N,4
26.0,74004,RENT,10.0,DEBTCONSOLIDATION,D,23125,10.99,1,0.3378195773201448,Y,4
25.0,81000,RENT,5.0,DEBTCONSOLIDATION,A,23125,7.29,1,0.3086419753086419,N,3
23.0,81600,RENT,1.0,MEDICAL,B,23125,11.36,1,0.3063725490196078,N,3
24.0,82000,RENT,8.0,VENTURE,B,23125,10.25,0,0.3048780487804878,N,2
24.0,83000,RENT,5.0,EDUCATION,B,23125,11.12,0,0.3012048192771084,N,3
24.0,83000,RENT,5.0,PERSONAL,D,23125,12.92,0,0.3012048192771084,Y,3
24.0,140250,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4
23.0,140250,MORTGAGE,8.0,PERSONAL,A,23125,7.51,0,0.1555555555555555,N,3
23.0,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.2777777777777778,N,2
22.0,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.1458333333333333,N,4
22.0,84500,RENT,6.0,PERSONAL,F,23125,18.3,0,0.2958579881656805,N,4
24.0,85000,RENT,5.0,MEDICAL,B,23125,10.62,0,0.2941176470588235,N,4
24.0,140250,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.0777777777777777,N,2
26.0,140250,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.0666666666666666,N,4
25.0,140250,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.0700280112044818,N,4
23.0,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,10.99,1,0.41,N,4
24.0,87000,RENT,8.0,HOMEIMPROVEMENT,D,23125,14.84,0,0.2873563218390804,N,3
24.0,75000,RENT,0.0,VENTURE,E,23125,14.7,1,0.3333333333333333,Y,3
23.0,76000,RENT,7.0,DEBTCONSOLIDATION,D,23125,16.02,1,0.3289473684210526,N,4
23.0,66215,RENT,1.0,MEDICAL,D,23125,15.37,1,0.3775579551461149,Y,2
25.0,90000,RENT,9.0,MEDICAL,B,23125,10.99,0,0.2777777777777778,N,4
21.0,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.4133333333333333,N,2
26.0,140250,OWN,2.0,PERSONAL,B,23125,10.99,0,0.1388888888888889,N,4
24.0,140250,OWN,8.0,EDUCATION,B,21000,11.48,0,0.1166666666666666,N,3
25.0,140250,OWN,9.0,MEDICAL,C,20000,14.26,0,0.1111111111111111,Y,4
26.0,140250,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.0555555555555555,N,4
25.0,140250,MORTGAGE,3.0,VENTURE,B,9950,11.26,0,0.0552777777777777,N,2
23.0,15000,OWN,7.0,MEDICAL,B,4475,10.99,1,0.2983333333333333,N,4
23.0,78000,RENT,2.0,VENTURE,D,23125,16.32,1,0.32,Y,3
25.0,66300,RENT,3.0,MEDICAL,E,23125,17.93,1,0.3770739064856712,Y,4
23.0,90000,RENT,0.0,DEBTCONSOLIDATION,B,23125,11.36,0,0.2777777777777778,N,3
24.0,79000,RENT,9.0,DEBTCONSOLIDATION,D,23125,14.96,1,0.3164556962025316,Y,4
24.0,91800,RENT,4.0,PERSONAL,C,23125,13.43,0,0.2723311546840958,Y,3
25.0,92000,RENT,6.0,HOMEIMPROVEMENT,B,23125,12.69,0,0.2717391304347826,N,3
24.0,92000,RENT,1.0,VENTURE,C,23125,12.73,0,0.2717391304347826,Y,4
23.0,93600,RENT,3.0,VENTURE,D,23125,15.21,0,0.2670940170940171,N,4
23.0,15000,MORTGAGE,1.0,MEDICAL,C,1750,12.68,0,0.1166666666666666,Y,3
23.0,70550,RENT,3.0,MEDICAL,F,23125,19.04,1,0.3543586109142452,Y,4
25.0,83800,RENT,2.0,DEBTCONSOLIDATION,D,23125,15.95,1,0.2983293556085918,Y,3
26.0,140250,MORTGAGE,3.0,VENTURE,A,2600,8.9,0,0.0148571428571428,N,4
25.0,140250,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8000,7.9,0,0.0457142857142857,N,2
22.0,140250,MORTGAGE,6.0,EDUCATION,B,18000,10.99,0,0.1028571428571428,N,2
23.0,140250,MORTGAGE,8.0,PERSONAL,B,21000,11.99,0,0.12,N,3
23.0,15000,OWN,4.0,DEBTCONSOLIDATION,C,4000,13.98,1,0.2666666666666666,N,4
23.0,15000,OWN,4.0,VENTURE,B,4600,10.99,1,0.3066666666666666,N,2
22.0,88000,RENT,6.0,DEBTCONSOLIDATION,D,23125,15.58,1,0.2840909090909091,Y,2
25.0,74800,RENT,2.0,MEDICAL,B,23125,10.99,1,0.3342245989304813,N,2
25.0,88000,RENT,0.0,VENTURE,D,23125,14.96,1,0.2840909090909091,N,4
25.0,15000,OWN,2.0,HOMEIMPROVEMENT,D,1750,15.31,0,0.1166666666666666,Y,4
26.0,88000,RENT,2.0,VENTURE,D,23125,15.65,1,0.2840909090909091,N,3
25.0,100000,RENT,1.0,VENTURE,B,23125,9.33,0,0.25,N,4
